Ship-to party,Region Code,sub_region_code,광역도시,시군구,담당 RDC 코드,담당 RDC 명
932,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
941,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KH02143,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KH10869,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KP11217,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KP12057,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KP12561,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KP13012,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KP13444,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KP13658,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
KP13855,DGA,CCN_GJ,충청남도,공주시,11RC,계룡RDC
9073,ABB,CCN_GR,충청남도,계룡시,11RC,계룡RDC
9325,ABB,CCN_GR,충청남도,계룡시,11RC,계룡RDC
5969,DFA,CCN_GS,충청남도,금산군,11RC,계룡RDC
737,DFA,CCN_GS,충청남도,금산군,11RC,계룡RDC
KH01288,DFA,CCN_GS,충청남도,금산군,11RC,계룡RDC
KH01289,DFA,CCN_GS,충청남도,금산군,11RC,계룡RDC
KH09564,DFA,CCN_GS,충청남도,금산군,11RC,계룡RDC
KH09591,DFA,CCN_GS,충청남도,금산군,11RC,계룡RDC
KH09994,DFE,CCN_GS,충청남도,금산군,11RC,계룡RDC
KP12905,DFA,CCN_GS,충청남도,금산군,11RC,계룡RDC
KP13464,DFA,CCN_GS,충청남도,금산군,11RC,계룡RDC
3001417,EAA,CCN_HS,충청남도,홍성군,11RC,계룡RDC
3021924,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
4305,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
6726,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
7789,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
9306,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
935,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
9751,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KH00968,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KH08348,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KH08349,DIB,CCN_NS,충청남도,논산시,11RC,계룡RDC
KH11021,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP11038,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP11403,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP11440,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP11621,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP11985,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP12957,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP12976,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP13127,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP13129,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP13305,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP13606,DIA,CCN_NS,충청남도,논산시,11RC,계룡RDC
KP13156,DOA,CCN_OS,충청남도,아산시,11RC,계룡RDC
1836,DKA,CCN_SC,충청남도,서천군,11RC,계룡RDC
7034,DKA,CCN_SC,충청남도,서천군,11RC,계룡RDC
8156,DKA,CCN_SC,충청남도,서천군,11RC,계룡RDC
KP11517,DKA,CCN_SC,충청남도,서천군,11RC,계룡RDC
KP12035,DKA,CCN_SC,충청남도,서천군,11RC,계룡RDC
KP12468,DKA,CCN_SC,충청남도,서천군,11RC,계룡RDC
KP13633,DKA,CCN_SC,충청남도,서천군,11RC,계룡RDC
KP13688,DKA,CCN_SC,충청남도,서천군,11RC,계룡RDC
10163,DAA,DJN_D,대전광역시,동구,11RC,계룡RDC
6004,DAA,DJN_D,대전광역시,동구,11RC,계룡RDC
KH01224,DAA,DJN_D,대전광역시,동구,11RC,계룡RDC
KH09219,DAA,DJN_D,대전광역시,동구,11RC,계룡RDC
KP12653,DAA,DJN_D,대전광역시,동구,11RC,계룡RDC
KP12672,DAA,DJN_D,대전광역시,동구,11RC,계룡RDC
KP12724,DAA,DJN_D,대전광역시,동구,11RC,계룡RDC
KP12964,DAA,DJN_D,대전광역시,동구,11RC,계룡RDC
