rdc_name,distance_range,truck_type,price
평택RDC,201~230 km,1T,179500
평택RDC,201~230 km,3.5T,240500
평택RDC,201~230 km,5T,346700
평택RDC,201~230 km,8T,416000
평택RDC,231~260 km,11T,498600
평택RDC,231~260 km,1T,199000
평택RDC,231~260 km,3.5T,266800
평택RDC,231~260 km,5T,383500
평택RDC,231~260 km,8T,460200
평택RDC,261~290 km,11T,551500
평택RDC,261~290 km,1T,221000
평택RDC,261~290 km,3.5T,296200
평택RDC,261~290 km,5T,424200
평택RDC,261~290 km,8T,509000
평택RDC,291~320 km,11T,610100
평택RDC,291~320 km,1T,245400
평택RDC,291~320 km,3.5T,328900
평택RDC,291~320 km,5T,469300
평택RDC,291~320 km,8T,563200
평택RDC,321~350 km,11T,679000
평택RDC,321~350 km,1T,273600
평택RDC,321~350 km,3.5T,366500
평택RDC,321~350 km,5T,522300
평택RDC,321~350 km,8T,626800
