시군구코드(대표리전코드),광역도시,시군구명,현재배정RDC(수량기준),총수량,총배송횟수(DeliveryNo),고유배송지코드수(Ship-to),RDC까지거리_km(수량가중평균),"RDC까지시간_h(중앙값,RealGI~Arrival)",수량비중_%,배송횟수비중_%,배정RDC_수량점유율_%,배정RDC_배송횟수점유율_%,대표권역번호(ShipmentRoute)
OQA,경상북도,상주시,칠곡RDC,6179,312,11,93.3,2.22,0.2996,0.3182,96.76,88.78,KRDE80
HAA,경기도,구리시,평택RDC,6139,327,8,129.3,1.86,0.2977,0.3335,97.87,88.07,KRD850
ICA,광주광역시,서구,계룡RDC,6091,462,16,300.0,4.76,0.2954,0.4712,97.75,91.56,KRD404
LDA,부산광역시,사하구,칠곡RDC,6049,369,22,155.9,3.99,0.2933,0.3764,96.56,94.04,KRD109
DBA,대전광역시,중구,계룡RDC,5827,394,13,37.4,1.29,0.2826,0.4019,97.07,93.4,KRD504
LGA,부산광역시,남구,칠곡RDC,5639,338,13,166.9,3.52,0.2735,0.3447,88.74,83.14,KRD103
EDA,충청남도,보령시,계룡RDC,5606,305,10,121.0,5.64,0.2719,0.3111,96.75,90.82,KRDB50
KDA,전라북도,남원시,계룡RDC,5593,308,8,154.2,2.79,0.2712,0.3141,95.62,87.01,KRDC30
LKA,부산광역시,수영구,칠곡RDC,5572,208,10,160.1,3.69,0.2702,0.2122,99.75,97.6,KRD10B
AFA,서울특별시,은평구,평택RDC,5553,297,8,114.4,3.8,0.2693,0.3029,98.49,90.24,KRD00L
AIA,서울특별시,도봉구,평택RDC,5403,366,7,100.0,2.45,0.262,0.3733,98.83,94.54,KRD009
OPA,경상북도,김천시,칠곡RDC,5284,296,9,63.0,2.43,0.2562,0.3019,95.14,89.19,KRDE50
OTA,경상북도,문경시,칠곡RDC,5109,258,7,103.8,2.41,0.2478,0.2631,92.84,82.95,KRDE60
DGA,충청남도,공주시,계룡RDC,5065,485,18,114.9,2.9,0.2456,0.4947,91.08,86.6,KRDB10
FSA,경기도,광명시,평택RDC,5054,283,13,97.8,2.07,0.2451,0.2886,92.56,89.4,KRD830
FGA,인천광역시,연수구,평택RDC,4942,354,9,98.9,2.3,0.2397,0.3611,96.01,88.42,KRD307
LFA,부산광역시,동래구,칠곡RDC,4731,345,8,150.2,3.22,0.2294,0.3519,97.72,95.07,KRD105
LMA,부산광역시,북구,칠곡RDC,4687,292,8,158.7,2.12,0.2273,0.2978,96.76,96.23,KRD107
GFA,경기도,수원시 장안구,평택RDC,4609,362,7,58.6,2.14,0.2235,0.3692,98.68,93.37,KRD8C2
BBA,서울특별시,양천구,평택RDC,4594,353,15,82.1,2.66,0.2228,0.36,97.32,90.65,KRD00I
FOA,인천광역시,강화군,평택RDC,4537,94,2,185.5,4.55,0.22,0.0959,66.7,76.6,KRD300
AKA,서울특별시,강동구,평택RDC,4507,356,7,88.3,2.9,0.2186,0.3631,97.63,89.04,KRD001
NBA,울산광역시,중구,칠곡RDC,4368,278,10,140.5,2.68,0.2118,0.2835,99.63,98.2,KRD604
MTA,경상남도,거창군,칠곡RDC,4282,233,7,152.0,1.62,0.2077,0.2377,92.53,87.98,KRDF10
MNA,경상남도,사천시,칠곡RDC,4208,282,12,196.4,3.84,0.2041,0.2876,97.41,92.55,KRDF60
KAA,전라북도,정읍시,계룡RDC,4198,326,11,257.4,2.11,0.2036,0.3325,91.4,91.1,KRDCC0
AMA,서울특별시,성북구,평택RDC,4102,319,8,86.5,2.9,0.1989,0.3254,97.93,90.91,KRD00G
MJA,경상남도,통영시,칠곡RDC,4084,387,11,227.6,3.67,0.198,0.3947,94.59,90.44,KRDFD0
AQA,서울특별시,용산구,평택RDC,3991,317,5,95.9,2.03,0.1935,0.3233,93.84,89.91,KRD00K
ILA,전라남도,나주시,계룡RDC,3928,298,12,314.1,6.36,0.1905,0.3039,95.75,89.6,KRDD50
PJA,경상북도,영천시,칠곡RDC,3885,227,7,96.1,2.71,0.1884,0.2315,81.34,90.31,KRDEE0
LTA,경상남도,밀양시,칠곡RDC,3849,258,13,144.3,1.75,0.1867,0.2631,92.1,92.64,KRDF50
AUA,서울특별시,관악구,평택RDC,3787,304,6,95.8,2.96,0.1836,0.3101,98.44,93.75,KRD004
OMA,경상북도,칠곡군,칠곡RDC,3722,301,14,103.0,0.52,0.1805,0.307,77.92,75.08,KRDEL0
MSA,경상남도,남해군,칠곡RDC,3636,92,5,200.0,5.49,0.1763,0.0938,97.74,86.96,KRDF40
GRA,경기도,성남시 중원구,평택RDC,3572,309,7,63.8,2.27,0.1732,0.3152,93.95,86.41,KRD8B2
LOA,부산광역시,강서구,칠곡RDC,3455,271,24,172.0,4.35,0.1675,0.2764,84.25,81.92,KRD100
GRA,경기도,성남시 수정구,평택RDC,3404,286,13,61.3,2.23,0.1651,0.2917,96.24,92.31,KRD8B1
ARA,서울특별시,강북구,평택RDC,3396,178,4,100.8,2.79,0.1647,0.1816,96.91,87.08,KRD002
AWA,서울특별시,금천구,평택RDC,3342,215,6,101.3,2.35,0.1621,0.2193,97.91,93.95,KRD007
CFA,강원도,속초시,제천RDC,3100,275,15,259.8,4.43,0.1503,0.2805,96.65,91.27,KRD940
PHA,울산광역시,동구,칠곡RDC,2880,223,8,163.3,2.9,0.1397,0.2275,96.74,97.31,KRD601
COA,강원도,태백시,제천RDC,2856,128,4,198.3,2.27,0.1385,0.1306,94.29,78.91,KRD9D0
ONA,경상북도,성주군,칠곡RDC,2639,176,5,119.5,0.72,0.128,0.1795,96.89,94.32,KRDE90
KCA,전라북도,고창군,계룡RDC,2630,91,2,228.0,3.11,0.1275,0.0928,98.78,96.7,KRDC00
HDA,경기도,양평군,평택RDC,2589,232,6,123.0,2.51,0.1256,0.2366,93.43,85.34,KRD8I0
