주문자코드(Sold to),건수,배송지(Ship-to) 수,출하RDC,배송지역
KP13638,33,1,제천RDC,강원도 정선군
KP12986,33,1,제천RDC,강원도 원주시
KP13174,33,1,평택RDC,경기도 평택시
KP11514,33,1,제천RDC,경상북도 영주시
8617,33,1,칠곡RDC,경상북도 포항시 남구
5289,33,1,평택RDC,경기도 용인시 수지구
KP13672,33,1,평택RDC,경기도 포천시
KP13728,33,1,평택RDC,경기도 수원시 권선구
KP13844,33,1,계룡RDC,광주광역시 서구
KP12823,32,1,칠곡RDC,울산광역시 울주군
2307,32,1,칠곡RDC,부산광역시 남구
KP12187,32,1,평택RDC,경기도 오산시
KH07657,32,1,칠곡RDC,경상남도 사천시
10362,32,1,칠곡RDC,경상남도 하동군
KP11029,32,1,칠곡RDC,경상북도 포항시 남구
7416,32,1,평택RDC,경기도 양주시
3229,32,1,계룡RDC,전라북도 김제시
KP12148,32,1,평택RDC,충청남도 천안시 동남구
KP12999,32,1,평택RDC,경기도 화성시
4216,32,1,제천RDC,경기도 이천시
KP12618,32,1,평택RDC,경기도 용인시 처인구
KH11059,32,1,계룡RDC,광주광역시 광산구
KH10832,32,1,평택RDC,경기도 양주시
1331,31,1,칠곡RDC,경상남도 고성군
5516,31,1,칠곡RDC,울산광역시 남구
9885,31,3,계룡RDC / 칠곡RDC / 평택RDC,경상북도 포항시 북구 / 대전광역시 유성구 / 인천광역시 계양구
KP13365,31,1,평택RDC,경기도 화성시
KP13443,31,1,계룡RDC,충청북도 청주시 서원구
9926,31,1,계룡RDC,충청북도 옥천군
1534,31,1,칠곡RDC,경상남도 김해시
KP11346,31,1,계룡RDC,전라북도 정읍시
1788,31,1,계룡RDC,전라남도 보성군
KP11242,31,1,평택RDC,경기도 김포시
1094,31,1,칠곡RDC,대구광역시 북구
10181,31,1,계룡RDC,충청북도 청주시 청원구
123,31,1,칠곡RDC,경상남도 합천군
9356,31,2,평택RDC,경기도 시흥시 / 인천광역시 중구
KP13662,31,1,평택RDC,충청남도 아산시
9963,31,1,계룡RDC,전라남도 광양시
KP12672,31,1,계룡RDC,대전광역시 동구
3003271,31,1,계룡RDC,전라북도 완주군
10104,31,1,칠곡RDC,경상북도 경주시
KH07504,31,1,평택RDC,경기도 용인시 기흥구
KP13691,31,1,평택RDC,경기도 안성시
KP13301,30,1,평택RDC,서울특별시 강동구
KP13258,30,1,계룡RDC,전라남도 장성군
KP11463,30,1,제천RDC,강원도 동해시
KP11217,30,1,계룡RDC,충청남도 공주시
852,30,1,계룡RDC,충청북도 괴산군
KP12110,30,1,평택RDC,경기도 파주시
KP12653,30,1,계룡RDC,대전광역시 동구
7709,30,1,칠곡RDC,울산광역시 울주군
KP13035,30,1,평택RDC,경기도 시흥시
9071,30,1,계룡RDC,전라남도 강진군
7818,30,2,계룡RDC,세종특별자치시 세종특별자치시 / 충청북도 청주시 흥덕구
KP13298,30,1,칠곡RDC,경상남도 밀양시
KH09142,30,1,계룡RDC,전라북도 전주시 덕진구
KP13813,30,1,칠곡RDC,부산광역시 남구
7112,29,1,계룡RDC,충청남도 공주시
9666,29,2,칠곡RDC / 평택RDC,울산광역시 울주군 / 인천광역시 남동구
6767,29,5,계룡RDC,광주광역시 광산구 / 전라남도 광양시 / 전라남도 여수시 / 전라남도 해남군
477,29,1,평택RDC,경기도 시흥시
KP11411,29,1,계룡RDC,전라남도 광양시
KP13052,29,1,평택RDC,경기도 고양시 덕양구
KH10752,29,1,칠곡RDC,부산광역시 수영구
2931,29,1,칠곡RDC,경상북도 울릉군
KH11056,29,1,칠곡RDC,경상남도 창원시 진해구
KH11268,29,1,칠곡RDC,대구광역시 동구
KH10617,28,1,칠곡RDC,울산광역시 동구
8962,28,1,칠곡RDC,경상남도 양산시
KP11065,28,1,평택RDC,경기도 용인시 수지구
KP11406,28,1,평택RDC,경기도 평택시
KP12902,28,1,평택RDC,인천광역시 서구
KP12219,28,1,제천RDC,경기도 여주시
KP13659,28,1,계룡RDC,전라북도 완주군
4430,28,2,칠곡RDC,경상남도 남해군 / 경상남도 산청군
KP12804,28,1,계룡RDC,전라남도 담양군
KP12875,28,1,칠곡RDC,부산광역시 강서구
10605,28,1,계룡RDC,충청북도 증평군
5028,28,1,칠곡RDC,울산광역시 남구
3018743,28,1,평택RDC,경기도 고양시 일산동구
KH10975,28,1,평택RDC,경기도 화성시
KH11083,28,1,평택RDC,경기도 오산시
KP13743,28,1,평택RDC,서울특별시 중랑구
KP13778,28,1,칠곡RDC,경상북도 포항시 남구
KH11310,28,1,제천RDC,강원도 춘천시
KP13872,28,1,평택RDC,인천광역시 중구
KH10002,27,1,평택RDC,서울특별시 강남구
1817,27,1,계룡RDC,전라북도 익산시
KP11722,27,1,평택RDC,경기도 용인시 수지구
903,27,2,계룡RDC / 평택RDC,충청남도 보령시 / 충청남도 서산시
KP12210,27,1,제천RDC,강원도 영월군
KP11436,27,1,평택RDC,충청남도 당진시
6382,27,1,평택RDC,경기도 안산시 단원구
KP12827,27,1,제천RDC,강원도 강릉시
8712,27,1,평택RDC,경기도 용인시 수지구
4933,27,1,평택RDC,경기도 연천군
KP13287,27,1,제천RDC,경상북도 영주시
KP13803,27,1,계룡RDC,광주광역시 북구
5757,26,1,계룡RDC,전라북도 완주군
KP13442,26,1,평택RDC,충청남도 천안시 서북구
KP13460,26,1,평택RDC,인천광역시 서구
KP11307,26,1,평택RDC,경기도 안성시
KP12899,26,1,칠곡RDC,부산광역시 강서구
10436,26,1,계룡RDC,충청북도 청주시 서원구
2846,26,1,칠곡RDC,경상남도 양산시
1183,26,1,칠곡RDC,경상남도 창원시 진해구
KH07505,26,1,평택RDC,경기도 용인시 수지구
KP12496,26,1,제천RDC,경기도 여주시
5844,26,1,칠곡RDC,대구광역시 달서구
8891,26,1,제천RDC,강원도 태백시
KP12450,26,1,칠곡RDC,경상북도 구미시
KP11390,26,1,제천RDC,강원도 화천군
KH11270,26,1,평택RDC,경기도 시흥시
KP13840,26,1,칠곡RDC,경상북도 경주시
6206,25,1,제천RDC,강원도 삼척시
9579,25,1,칠곡RDC,울산광역시 북구
KP13173,25,1,평택RDC,경기도 남양주시
KP13039,25,1,평택RDC,경기도 용인시 처인구
KH02249,25,1,칠곡RDC,경상남도 김해시
7978,25,1,평택RDC,서울특별시 성동구
KH10945,25,1,평택RDC,충청남도 아산시
KP12092,25,1,제천RDC,강원도 평창군
KP12384,25,1,제주RDC,제주특별자치도 제주시
KH10764,25,1,칠곡RDC,경상북도 구미시
KH02255,25,1,칠곡RDC,부산광역시 사상구
999,25,1,제천RDC,강원도 강릉시
6082,25,1,평택RDC,경기도 시흥시
KP13630,25,1,평택RDC,서울특별시 양천구
KP13407,25,1,제천RDC,경상북도 봉화군
KP12144,25,1,제천RDC,강원도 강릉시
10290,25,1,평택RDC,충청남도 예산군
1344,25,1,칠곡RDC,경상남도 진주시
KH10801,25,1,제천RDC,강원도 원주시
1631,25,1,계룡RDC,전라북도 남원시
KH06933,25,1,계룡RDC,전라북도 전주시 덕진구
KH11029,25,1,평택RDC,경기도 용인시 처인구
KH11055,25,1,평택RDC,경기도 수원시 권선구
KP13757,25,1,계룡RDC,충청북도 청주시 흥덕구
KH07308,25,1,칠곡RDC,경상남도 김해시
KH04593,24,1,평택RDC,경기도 고양시 일산동구
